node_id,type,deg,indeg,outdeg,stre,instre,outstre,degree,degree_rank,indegree,indegree_rank,outdegree,outdegree_rank,strength,strength_rank,instrength,instrength_rank,outstrength,outstrength_rank,betweenness,betweenness_rank,closeness,closeness_rank,eigenvector,eigenvector_rank,hits_hubs,hits_hubs_rank,hits_authorities,hits_authorities_rank,pagerank,pagerank_rank
836,normal,1,0,1,1,0,1,0.0001297521733489036,2115.0,0.0,3661.0,0.0001297521733489036,1049.0,1,4174.0,0,3661.0,1,2232.0,0.0,868.0,0.0,3609.0,6.397154362532933e-41,3661.0,2.739748219350461e-13,1789.0,-0.0,5318.0,7.966859730951258e-05,3661.0
1194,normal,30,16,14,59,29,30,0.003892565200467108,62.0,0.0020760347735824577,60.0,0.0018165304268846505,76.0,59,183.0,29,203.0,30,195.0,0.001778159614875816,50.0,0.042510408634851046,95.0,0.029770262571055882,180.0,1.997299991922817e-10,358.0,8.031863325713798e-11,620.0,0.0007804681648785775,89.0
5093,normal,1,0,1,1,0,1,0.0001297521733489036,2115.0,0.0,3661.0,0.0001297521733489036,1049.0,1,4174.0,0,3661.0,1,2232.0,0.0,868.0,0.0,3609.0,6.397154362532933e-41,3661.0,1.2564910115672228e-19,2379.0,1.2086540293519827e-18,3265.0,7.966859730951258e-05,3661.0
3914,normal,18,18,0,47,47,0,0.002335539120280265,99.0,0.002335539120280265,48.0,0.0,3096.0,47,247.0,47,122.0,0,3096.0,0.0,868.0,0.02871008781653688,2238.0,0.0001577522170970155,2190.0,-0.0,2744.0,3.731917325209654e-17,2845.0,0.0013870918483076316,38.0
5525,normal,1,0,1,4,0,4,0.0001297521733489036,2115.0,0.0,3661.0,0.0001297521733489036,1049.0,4,2063.0,0,3661.0,4,1011.0,0.0,868.0,0.0,3609.0,6.397154362532933e-41,3661.0,5.025964046268891e-19,2360.0,3.934762745264422e-19,4017.0,7.966859730951258e-05,3661.0
4453,normal,2,1,1,25,1,24,0.0002595043466978072,1183.0,0.0001297521733489036,1093.0,0.0001297521733489036,1049.0,25,482.0,1,2753.0,24,244.0,1.2704128574065373e-05,621.0,0.03278839292436963,1666.0,0.0007052406126019027,1796.0,3.0155784277613345e-18,2347.0,3.5254509879933894e-15,2642.0,0.000164742238871594,793.0
823,normal,1,0,1,4,0,4,0.0001297521733489036,2115.0,0.0,3661.0,0.0001297521733489036,1049.0,4,2063.0,0,3661.0,4,1011.0,0.0,868.0,0.0,3609.0,6.397154362532933e-41,3661.0,5.025964046268891e-19,2360.0,-2.5287025377996127e-19,6277.0,7.966859730951258e-05,3661.0
5107,normal,1,0,1,1,0,1,0.0001297521733489036,2115.0,0.0,3661.0,0.0001297521733489036,1049.0,1,4174.0,0,3661.0,1,2232.0,0.0,868.0,0.0,3609.0,6.397154362532933e-41,3661.0,1.0566374637829912e-15,2119.0,7.302149723247343e-20,4885.0,7.966859730951258e-05,3661.0
1707,normal,25,25,0,45,45,0,0.0032438043337225902,69.0,0.0032438043337225902,27.0,0.0,3096.0,45,266.0,45,133.0,0,3096.0,0.0,868.0,0.00324380433372259,2583.0,6.243622657832159e-38,2764.0,-0.0,2744.0,3.097679614890619e-13,1805.0,0.0015326973629294451,27.0
7183,normal,1,0,1,2,0,2,0.0001297521733489036,2115.0,0.0,3661.0,0.0001297521733489036,1049.0,2,3215.0,0,3661.0,2,1706.0,0.0,868.0,0.0,3609.0,6.397154362532933e-41,3661.0,2.1132749275659823e-15,2075.0,6.52945302114659e-20,4910.0,7.966859730951258e-05,3661.0
