node_id,type,deg,indeg,outdeg,stre,instre,outstre,degree,degree_rank,indegree,indegree_rank,outdegree,outdegree_rank,betweenness,betweenness_rank,closeness,closeness_rank,eigenvector,eigenvector_rank,hits_hubs,hits_hubs_rank,hits_authorities,hits_authorities_rank,pagerank,pagerank_rank
0,normal,22,10,12,14523.43563275367,5716.442311054597,8806.993321699074,0.1042654028436019,172.0,0.047393364928909956,171.0,0.05687203791469195,126.0,0.005024127689888833,141.0,0.4081237911025145,183.0,0.05091415856540019,168.0,0.0029210067186147045,171.0,0.0023932722066266547,202.0,0.0026688088309694243,204.0
1,normal,22,11,11,18104.993183969025,7815.516584648519,10289.476599320507,0.1042654028436019,172.0,0.05213270142180095,153.0,0.05213270142180095,151.0,0.003763262395752087,187.0,0.4228456913827655,135.0,0.058652249136481004,131.0,0.004366202792609518,113.0,0.002812751073547117,188.0,0.0033601438049542867,174.0
2,normal,32,15,17,25918.140621836617,11943.482466602125,13974.658155234494,0.15165876777251186,35.0,0.07109004739336494,56.0,0.08056872037914692,36.0,0.007021450013336424,72.0,0.4442105263157895,58.0,0.07279028521297776,74.0,0.005749800167810152,58.0,0.005388076747201575,67.0,0.0048923721995886476,87.0
3,normal,39,15,24,30541.330120537998,11577.92568156297,18963.404438975027,0.18483412322274884,2.0,0.07109004739336494,56.0,0.1137440758293839,2.0,0.010452694465282956,16.0,0.4359504132231405,86.0,0.06846512577123874,95.0,0.009122318129449957,4.0,0.00509366384094622,75.0,0.003772067809186607,155.0
4,normal,26,13,13,25833.681424445655,10949.394112152298,14884.287312293358,0.12322274881516589,118.0,0.06161137440758294,100.0,0.06161137440758294,103.0,0.005597470535775628,125.0,0.4262626262626263,119.0,0.06081754918555325,121.0,0.004785650975963708,98.0,0.004228147381762616,115.0,0.004463963599170792,110.0
5,normal,26,10,16,24230.812849016394,9016.770140784447,15214.042708231946,0.12322274881516589,118.0,0.047393364928909956,171.0,0.07582938388625593,55.0,0.006129295334548265,103.0,0.41291585127201563,171.0,0.04618893079411991,185.0,0.006495979574569474,39.0,0.0035317611637511476,159.0,0.0038866267160984607,147.0
6,normal,27,10,17,26526.531235748247,11645.398558344994,14881.132677403253,0.1279620853080569,104.0,0.047393364928909956,171.0,0.08056872037914692,36.0,0.00850849132157599,39.0,0.41865079365079366,147.0,0.05048062330115453,170.0,0.005668401474587011,61.0,0.0037081506185694673,145.0,0.006830473769658482,17.0
7,normal,23,11,12,20582.90269628978,10875.072314180421,9707.83038210936,0.1090047393364929,159.0,0.05213270142180095,153.0,0.05687203791469195,126.0,0.004305472775231918,159.0,0.4153543307086614,164.0,0.059041898616648034,127.0,0.005146002959533865,85.0,0.004687763736305456,94.0,0.0054265154977729746,66.0
8,normal,27,15,12,20278.23589023009,11500.833120037913,8777.402770192177,0.1279620853080569,104.0,0.07109004739336494,56.0,0.05687203791469195,126.0,0.006405072838368291,96.0,0.4442105263157895,58.0,0.07926612126734797,51.0,0.0037128497131002306,142.0,0.004794785190615644,88.0,0.005208337314090626,71.0
9,normal,20,11,9,18957.21819084366,8717.477607200342,10239.74058364332,0.09478672985781991,193.0,0.05213270142180095,153.0,0.04265402843601896,185.0,0.003480645248690354,191.0,0.41699604743083,155.0,0.053714899992756575,160.0,0.005247444278000091,80.0,0.003548127486953011,156.0,0.003908525074282401,144.0
10,normal,28,13,15,22993.488205582275,8684.290978367413,14309.197227214861,0.13270142180094788,81.0,0.06161137440758294,100.0,0.07109004739336494,70.0,0.005629409023072186,123.0,0.4323770491803279,102.0,0.0658341513450139,102.0,0.008512087954152495,7.0,0.00353314709482975,158.0,0.004005799360414717,138.0
11,normal,30,13,17,23165.676567682007,9822.725737748238,13342.950829933769,0.14218009478672988,57.0,0.06161137440758294,100.0,0.08056872037914692,36.0,0.007248529034269834,65.0,0.43775933609958506,79.0,0.06999512795427841,90.0,0.0050519596070602675,91.0,0.0040587961616900614,122.0,0.004282912156801579,122.0
12,normal,28,14,14,22719.364641593413,9836.252116944042,12883.112524649368,0.13270142180094788,81.0,0.06635071090047394,84.0,0.06635071090047394,85.0,0.006778446414608169,83.0,0.42973523421588594,111.0,0.06377022705072936,108.0,0.005517216311375999,64.0,0.0037746901413050387,142.0,0.00440838240271301,114.0
13,normal,31,11,20,24209.658984795118,9913.5126757375,14296.146309057618,0.14691943127962087,47.0,0.05213270142180095,153.0,0.09478672985781991,7.0,0.008016669806008363,47.0,0.41453831041257366,167.0,0.05315430738463773,164.0,0.006200452567239799,45.0,0.003525423710405221,160.0,0.004512132799642274,108.0
14,normal,28,16,12,21101.62520333899,13431.79037202927,7669.83483130972,0.13270142180094788,81.0,0.07582938388625593,44.0,0.05687203791469195,126.0,0.00672288040412151,87.0,0.45278969957081544,37.0,0.08648263939280783,32.0,0.0035329103323555448,150.0,0.0065397105355166915,32.0,0.0058735332012373,48.0
15,normal,21,16,5,18207.001514736454,12452.989926100327,5754.011588636125,0.0995260663507109,183.0,0.07582938388625593,44.0,0.023696682464454978,209.0,0.00247949281551934,204.0,0.4451476793248945,55.0,0.0726096141149547,75.0,0.003135619015367337,164.0,0.0037102448816930217,144.0,0.005769584665965843,52.0
16,normal,20,9,11,14822.265184047705,6316.211358173706,8506.053825873998,0.09478672985781991,193.0,0.04265402843601896,195.0,0.05213270142180095,151.0,0.0030890874106091573,196.0,0.4049904030710173,191.0,0.04409860061522778,196.0,0.0029955993288691115,168.0,0.0033632913740401604,165.0,0.002945560754312215,192.0
17,normal,30,13,17,27208.593431064077,12256.550471898172,14952.042959165905,0.14218009478672988,57.0,0.06161137440758294,100.0,0.08056872037914692,36.0,0.008984210166736447,32.0,0.4323770491803279,102.0,0.07090987104200135,82.0,0.00701407486397137,25.0,0.004539817270636201,100.0,0.005495157578743443,62.0
18,normal,24,15,9,16723.21946541659,10442.674534905738,6280.544930510851,0.1137440758293839,142.0,0.07109004739336494,56.0,0.04265402843601896,185.0,0.004794740041857518,146.0,0.44608879492600423,48.0,0.081804947214688,41.0,0.002771693655787445,180.0,0.004758832094787699,91.0,0.005111940060146046,74.0
19,normal,28,12,16,14974.971124041422,6022.03897954759,8952.932144493832,0.13270142180094788,81.0,0.05687203791469195,131.0,0.07582938388625593,55.0,0.006797920430721265,82.0,0.4203187250996016,143.0,0.06303843364203537,113.0,0.004000784915763812,129.0,0.002293493766787276,203.0,0.0028793811332185814,197.0
