node_id,type,deg,indeg,outdeg,stre,instre,outstre,degree,degree_rank,indegree,indegree_rank,outdegree,outdegree_rank,strength,strength_rank,instrength,instrength_rank,outstrength,outstrength_rank,betweenness,betweenness_rank,closeness,closeness_rank,eigenvector,eigenvector_rank,hits_hubs,hits_hubs_rank,hits_authorities,hits_authorities_rank,pagerank,pagerank_rank
0,normal,26,14,12,18087.949370347087,10974.392203525611,7113.557166821475,0.12322274881516589,114.0,0.06635071090047394,82.0,0.05687203791469195,128.0,18087.949370347087,158.0,10974.392203525611,97.0,7113.557166821475,175.0,0.0060347784922124715,102.0,0.43775933609958506,84.0,0.0651760763034755,102.0,0.0038626990986971904,134.0,0.004285258274646809,120.0,0.005996737966336982,43.0
1,normal,30,15,15,21175.719943971824,11185.776818471355,9989.94312550047,0.14218009478672988,52.0,0.07109004739336494,64.0,0.07109004739336494,70.0,21175.719943971824,102.0,11185.776818471355,94.0,9989.94312550047,115.0,0.008555375458554603,39.0,0.44608879492600423,51.0,0.07672394176674267,57.0,0.0030821335763729883,167.0,0.004741407352071992,95.0,0.005748800900421863,53.0
2,normal,31,18,13,20987.98704497802,11468.350941354454,9519.636103623568,0.14691943127962087,38.0,0.08530805687203792,20.0,0.06161137440758294,108.0,20987.98704497802,107.0,11468.350941354454,79.0,9519.636103623568,125.0,0.007516786784873022,62.0,0.4557235421166307,29.0,0.081735941310492,45.0,0.004439389199178996,110.0,0.005580885984885681,63.0,0.004253607892859964,127.0
3,normal,22,11,11,16693.046625910054,7036.744213977828,9656.302411932225,0.1042654028436019,173.0,0.05213270142180095,146.0,0.05213270142180095,148.0,16693.046625910054,177.0,7036.744213977828,177.0,9656.302411932225,121.0,0.003871934896785254,181.0,0.412109375,166.0,0.05197258755000309,160.0,0.004222113315703431,119.0,0.0027510641867702517,177.0,0.003262681427916524,176.0
4,normal,24,10,14,23821.52132678089,11227.996660857327,12593.524665923564,0.1137440758293839,143.0,0.047393364928909956,173.0,0.06635071090047394,87.0,23821.52132678089,64.0,11227.996660857327,93.0,12593.524665923564,62.0,0.005386795551859637,126.0,0.4042145593869732,185.0,0.04653262255644995,181.0,0.005707779122434966,56.0,0.004561116077141078,103.0,0.005627004111873212,59.0
5,normal,20,11,9,13895.168779062016,10113.426629611855,3781.7421494501623,0.09478672985781991,199.0,0.05213270142180095,146.0,0.04265402843601896,183.0,13895.168779062016,200.0,10113.426629611855,125.0,3781.7421494501623,211.0,0.0036762908500081906,191.0,0.412109375,166.0,0.051629357624214,164.0,0.0014551777636843855,209.0,0.0035060344026222726,154.0,0.004264929635124292,126.0
6,normal,34,17,17,25264.061357677452,14840.423514199318,10423.637843478135,0.16113744075829384,18.0,0.08056872037914692,27.0,0.08056872037914692,32.0,25264.061357677452,49.0,14840.423514199318,26.0,10423.637843478135,105.0,0.009249108532477412,26.0,0.4442105263157895,57.0,0.07478306398943882,63.0,0.004168691706943358,121.0,0.006213235615878011,44.0,0.005624737763253709,60.0
7,normal,28,11,17,25174.988079778064,10592.079054421378,14582.909025356686,0.13270142180094788,88.0,0.05213270142180095,146.0,0.08056872037914692,32.0,25174.988079778064,51.0,10592.079054421378,110.0,14582.909025356686,33.0,0.006966754061979699,74.0,0.4178217821782178,146.0,0.05246437263005854,155.0,0.006821345620356115,32.0,0.004404962849837284,112.0,0.004377027751926626,116.0
8,normal,31,17,14,27746.842705142353,17410.722853002102,10336.119852140251,0.14691943127962087,38.0,0.08056872037914692,27.0,0.06635071090047394,87.0,27746.842705142353,23.0,17410.722853002102,9.0,10336.119852140251,108.0,0.007605607406925023,55.0,0.45376344086021503,33.0,0.08666312415431171,30.0,0.005376154527138228,68.0,0.009369268015099958,4.0,0.006545471620274761,23.0
9,normal,30,13,17,26814.237174792732,12875.085924497975,13939.151250294759,0.14218009478672988,52.0,0.06161137440758294,101.0,0.08056872037914692,32.0,26814.237174792732,30.0,12875.085924497975,62.0,13939.151250294759,40.0,0.007548240790668751,60.0,0.42973523421588594,109.0,0.06143406903461095,122.0,0.006980422520106313,28.0,0.0068525582594179965,28.0,0.005504266333624716,65.0
