node_id,type,deg,indeg,outdeg,stre,instre,outstre,degree,degree_rank,indegree,indegree_rank,outdegree,outdegree_rank,betweenness,betweenness_rank,closeness,closeness_rank,eigenvector,eigenvector_rank,hits_hubs,hits_hubs_rank,hits_authorities,hits_authorities_rank,pagerank,pagerank_rank
0,normal,33,16,17,22277.911607960305,10401.858818759018,11876.052789201287,0.15639810426540285,21.0,0.07582938388625593,40.0,0.08056872037914692,21.0,0.008228606407895578,39.0,0.4350515463917526,103.0,0.06603851541875597,113.0,0.004444072895820407,110.0,0.0038220854314423287,133.0,0.004307848703045844,121.0
1,normal,30,15,15,23008.732008186682,9959.8629929735,13048.869015213182,0.14218009478672988,53.0,0.07109004739336494,62.0,0.07109004739336494,58.0,0.006959527235543885,73.0,0.4442105263157895,55.0,0.07690689425452912,52.0,0.006446180415704929,33.0,0.004682876572274723,102.0,0.00430343311230365,122.0
2,normal,23,10,13,17467.619970576055,6820.400862248244,10647.21910832781,0.1090047393364929,172.0,0.047393364928909956,167.0,0.06161137440758294,110.0,0.004615859379040521,167.0,0.4097087378640777,169.0,0.04885640166115226,171.0,0.005823888423743264,56.0,0.002372599641682656,192.0,0.0035752659852619295,166.0
3,normal,30,13,17,27959.516303045,11869.49712450854,16090.019178536459,0.14218009478672988,53.0,0.06161137440758294,112.0,0.08056872037914692,21.0,0.0072950291612682615,63.0,0.4271255060728745,125.0,0.060449790089250256,129.0,0.007257157041915645,17.0,0.0056564424467698635,65.0,0.005419167004157157,64.0
4,normal,18,11,7,12890.70857038219,8006.574686689309,4884.133883692882,0.08530805687203792,203.0,0.05213270142180095,152.0,0.03317535545023697,210.0,0.0026257995690806466,204.0,0.42369477911646586,138.0,0.05967289405234952,134.0,0.002824130164878983,183.0,0.003141681560388799,168.0,0.003649782377398959,161.0
5,normal,29,16,13,21452.130163512527,10017.797231463339,11434.33293204919,0.13744075829383887,65.0,0.07582938388625593,40.0,0.06161137440758294,110.0,0.007185837718328946,65.0,0.4432773109243697,61.0,0.0758362863570168,58.0,0.004840952476862956,95.0,0.0038206925563636974,134.0,0.00468936983402419,101.0
6,normal,26,12,14,14796.793322663001,5792.458041053528,9004.335281609472,0.12322274881516589,113.0,0.05687203791469195,127.0,0.06635071090047394,83.0,0.0057298804581893655,121.0,0.4350515463917526,103.0,0.07336088072929672,75.0,0.0034638131095772046,159.0,0.0025614528207608027,188.0,0.0032821954371602723,175.0
7,normal,22,11,11,19144.74159642816,8500.180944190464,10644.560652237695,0.1042654028436019,182.0,0.05213270142180095,152.0,0.05213270142180095,151.0,0.003965925601531501,180.0,0.4161735700197239,158.0,0.053012112063587434,154.0,0.004325082232709067,115.0,0.0037611444765070084,139.0,0.003581483961719695,165.0
8,normal,32,21,11,26594.685394695003,18327.536558818694,8267.148835876309,0.15165876777251186,29.0,0.0995260663507109,7.0,0.05213270142180095,151.0,0.008077255078795835,44.0,0.4806378132118451,5.0,0.11181730666997347,3.0,0.0033165165464844725,166.0,0.008335614568189386,12.0,0.008040136178653666,6.0
9,normal,26,12,14,17363.17263599224,6384.461972157511,10978.710663834729,0.12322274881516589,113.0,0.05687203791469195,127.0,0.06635071090047394,83.0,0.006014796392376663,109.0,0.42115768463073855,143.0,0.05026441446173257,168.0,0.005340284179412432,70.0,0.0024961027182315923,189.0,0.0029238537726516437,194.0
10,normal,33,22,11,27702.06412968797,17995.085749549504,9706.978380138464,0.15639810426540285,21.0,0.1042654028436019,6.0,0.05213270142180095,151.0,0.008699561493229943,30.0,0.46578366445916114,14.0,0.09960745947994756,10.0,0.00335206380552619,165.0,0.007515887511831176,18.0,0.00738500413474838,12.0
11,normal,32,14,18,27169.0650789996,11224.598658203116,15944.466420796483,0.15165876777251186,29.0,0.06635071090047394,82.0,0.08530805687203792,15.0,0.007516806511464663,56.0,0.43149284253578735,115.0,0.062424385142825174,122.0,0.008210084389853581,10.0,0.004109708502167688,119.0,0.004817643960632922,90.0
12,normal,28,13,15,21819.06544375427,10000.193559942432,11818.871883811835,0.13270142180094788,82.0,0.06161137440758294,112.0,0.07109004739336494,58.0,0.006685298130499265,82.0,0.4245472837022133,136.0,0.055868784226010076,148.0,0.004011427694626728,135.0,0.005268728596029602,76.0,0.003775570818783187,153.0
13,normal,27,16,11,16368.104745999157,9077.364391588628,7290.74035441053,0.1279620853080569,98.0,0.07582938388625593,40.0,0.05213270142180095,151.0,0.005615217007609017,123.0,0.4386694386694387,90.0,0.0762837817630404,56.0,0.002289802665442462,199.0,0.00387881483491656,129.0,0.0037210722326907926,155.0
14,normal,29,16,13,18405.90946954419,6500.517930197258,11905.39153934693,0.13744075829383887,65.0,0.07582938388625593,40.0,0.06161137440758294,110.0,0.0058298481884368255,118.0,0.4451476793248945,50.0,0.07355558399217682,73.0,0.005925979645615173,53.0,0.0027388847275937023,180.0,0.003124196424864202,184.0
15,normal,30,15,15,23833.359807291406,12011.22852485724,11822.131282434166,0.14218009478672988,53.0,0.07109004739336494,62.0,0.07109004739336494,58.0,0.007059062909218202,69.0,0.4386694386694387,90.0,0.07688212289525696,54.0,0.004251952553598573,119.0,0.006181447373691233,50.0,0.004775222292237495,93.0
16,normal,21,11,10,17545.000693585098,9127.015347659375,8417.985345925723,0.0995260663507109,189.0,0.05213270142180095,152.0,0.047393364928909956,176.0,0.004029851872986556,178.0,0.4245472837022133,136.0,0.05631519260981294,145.0,0.0033740030236959675,163.0,0.0037224270121344657,141.0,0.0049837967530970305,84.0
17,normal,27,14,13,21935.98088263923,14573.332489854547,7362.648392784682,0.1279620853080569,98.0,0.06635071090047394,82.0,0.06161137440758294,110.0,0.006350190145800736,96.0,0.44142259414225943,76.0,0.07281140906197077,77.0,0.0025978192355843545,188.0,0.006349648952473534,43.0,0.005901301962570219,42.0
18,normal,21,10,11,16898.07745330601,9746.73247680019,7151.344976505818,0.0995260663507109,189.0,0.047393364928909956,167.0,0.05213270142180095,151.0,0.0035164756924458375,191.0,0.40190476190476193,186.0,0.044084705981742765,186.0,0.002322028773268001,196.0,0.004780651310930063,95.0,0.003755307022365294,154.0
19,normal,20,7,13,17915.036190787992,7128.896918133265,10786.139272654727,0.09478672985781991,196.0,0.03317535545023697,204.0,0.06161137440758294,110.0,0.0034535716101187384,196.0,0.3836363636363636,208.0,0.03008267591083906,208.0,0.004857594068303275,94.0,0.0026491416583659983,184.0,0.003180406253578973,181.0
20,normal,26,9,17,26010.651397079328,12364.517779264583,13646.133617814745,0.12322274881516589,113.0,0.04265402843601896,184.0,0.08056872037914692,21.0,0.006820086533149216,78.0,0.41130604288499023,165.0,0.04732362674649953,176.0,0.006215433663972867,42.0,0.005014158207498643,83.0,0.005668112407796909,55.0
21,normal,27,11,16,24108.581491124285,9798.04544328601,14310.536047838275,0.1279620853080569,98.0,0.05213270142180095,152.0,0.07582938388625593,41.0,0.006138360783666984,103.0,0.4203187250996016,146.0,0.051266344573062755,160.0,0.006123998633332113,44.0,0.004136566368595106,118.0,0.0039977055272663875,143.0
22,normal,22,10,12,12917.626775573648,8503.544809238436,4414.081966335212,0.1042654028436019,182.0,0.047393364928909956,167.0,0.05687203791469195,133.0,0.0035368665482638237,189.0,0.41865079365079366,150.0,0.051105098779143966,161.0,0.0021378835106836453,201.0,0.003993397173373499,121.0,0.0038015933921490648,152.0
23,normal,30,11,19,30249.76400684767,12021.444601295047,18228.319405552622,0.14218009478672988,53.0,0.05213270142180095,152.0,0.09004739336492892,10.0,0.0070217769414407175,71.0,0.4153543307086614,161.0,0.05589154306234838,147.0,0.006934921723774809,25.0,0.006998004490491077,25.0,0.004533270582815447,110.0
